stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
routelle,193.0,193.0,0.0,0.39075537172623864,4.0,
torpes,63.0,63.0,0.0,0.2950766124422588,3.0,
stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
routelle,28.0,28.0,0.0,0.38845559528895784,4.0,
torpes,14.0,14.0,0.0,0.3254615579332624,3.0,
stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
routelle,4.0,4.0,0.0,0.40173229575157166,4.0,
torpes,2.0,2.0,0.0,0.32579976320266724,3.0,
stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
routelle,193.0,193.0,0.0,0.39075537172623864,4.0,
torpes,63.0,63.0,0.0,0.2950766124422588,3.0,
stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
routelle,28.0,28.0,0.0,0.38845559528895784,4.0,
torpes,14.0,14.0,0.0,0.3254615579332624,3.0,
stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
routelle,4.0,4.0,0.0,0.40173229575157166,4.0,
torpes,2.0,2.0,0.0,0.32579976320266724,3.0,
