diffDonnee -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
novillars,523.0,0.0,523.0,0.5166828454566503,3.0,
chatillon-le-duc,1941.0,0.0,1941.0,0.4824868408077344,3.0,
pirey,2399.0,0.0,2399.0,0.5285453208042413,3.0,
pouligney-lusans,3867.0,0.0,3867.0,0.39769163050329714,4.0,
chaudefontaine,1168.0,0.0,1168.0,0.43771537362712704,4.0,
montferrand-le-chateau,2394.0,0.0,2394.0,0.5459425949313388,3.0,
chaucenne,1731.0,0.0,1731.0,0.46559024063718585,4.0,
franois,2584.0,0.0,2584.0,0.5458107585139319,3.0,
champoux,652.0,0.0,652.0,0.42495540314656827,4.0,
sorans-ls-breurey,1079.0,0.0,1079.0,0.40063431309372105,4.0,
osse,2107.0,0.0,2107.0,0.4120176339749199,4.0,
roche-lez-beaupre,1851.0,0.0,1851.0,0.4654182256845962,3.0,
recologne,1266.0,0.0,1266.0,0.400966361047344,4.0,
corcondray,663.0,0.0,663.0,0.3902128055624293,4.0,
tallenay,680.0,0.0,680.0,0.4768693811753217,4.0,
rancenay,598.0,0.0,598.0,0.46072306042929556,4.0,
grandfontaine,1799.0,0.0,1799.0,0.49318638664275294,3.0,
corcelle-mieslot,1510.0,0.0,1510.0,0.3839170746455919,4.0,
braillans,887.0,0.0,887.0,0.4308673639308237,4.0,
velesmes-essarts,1015.0,0.0,1015.0,0.48903210268819275,3.0,
voray-sur-l'ognon,1536.0,0.0,1536.0,0.44770459334055585,4.0,
courcuire,168.0,0.0,168.0,0.32875131425403414,4.0,
devecey,1126.0,0.0,1126.0,0.5446322019316163,3.0,
rigney,1002.0,0.0,1002.0,0.37930258257898264,4.0,
serre-les-sapins,1466.0,0.0,1466.0,0.4897118291295404,3.0,
mamirolle,3658.0,0.0,3658.0,0.48131967151406163,3.0,
roulans,840.0,0.0,840.0,0.4018203372047061,4.0,
bonnevent-velloreille,388.0,0.0,388.0,0.41450826900521504,4.0,
montfaucon,1203.0,0.0,1203.0,0.47651861354101727,3.0,
magny,1825.0,0.0,1825.0,0.4761324111729452,4.0,
montboillon,2107.0,0.0,2107.0,0.40635179285195183,4.0,
bussires,1229.0,0.0,1229.0,0.3964564150382679,4.0,
vennans,75.0,0.0,75.0,0.47793777465820314,4.0,
moncley,2404.0,0.0,2404.0,0.4537373319045081,4.0,
chatillon-guyotte,1268.0,0.0,1268.0,0.3804040902796604,4.0,
villers-grlot,381.0,0.0,381.0,0.4115945010047572,4.0,
vregille,1006.0,0.0,1006.0,0.42639469579010314,4.0,
champagney,902.0,0.0,902.0,0.47905563726657774,4.0,
chevroz,678.0,0.0,678.0,0.45285758859640024,4.0,
thise,1953.0,0.0,1953.0,0.4446415508092518,3.0,
champlive,47.0,0.0,47.0,0.31345444537223655,4.0,
bonnay,1641.0,0.0,1641.0,0.37597232239773765,4.0,
boulot,2268.0,0.0,2268.0,0.39726946257199347,4.0,
beaumotte-ls-pin,860.0,0.0,860.0,0.3627369015715843,4.0,
nancray,4978.0,0.0,4978.0,0.4022924500615207,3.0,
miserey-salines,2133.0,0.0,2133.0,0.52883566325671,3.0,
le gratteris,1130.0,0.0,1130.0,0.41630024867775167,4.0,
rignosot,339.0,0.0,339.0,0.399461504280743,4.0,
gennes,2284.0,0.0,2284.0,0.4224551012136055,4.0,
beure,74.0,0.0,74.0,0.5561247129698057,3.0,
thoraise,80.0,0.0,80.0,0.52518310546875,4.0,
la veze,1554.0,0.0,1554.0,0.4552342870213964,4.0,
franey,49.0,0.0,49.0,0.3690883870027503,4.0,
autoreille,36.0,0.0,36.0,0.3892987304263645,4.0,
le puy,301.0,0.0,301.0,0.4334165756884603,4.0,
vaire-arcier,1930.0,0.0,1930.0,0.3491104995648478,4.0,
thurey-le-mont,1678.0,0.0,1678.0,0.33480267530402635,4.0,
placey,1335.0,0.0,1335.0,0.43999041725187266,4.0,
palise,589.0,0.0,589.0,0.34366891339598366,4.0,
mrey-sous-montrond,1162.0,0.0,1162.0,0.4180535531495401,4.0,
noironte,2357.0,0.0,2357.0,0.4767974736986901,4.0,
perrouse,1184.0,0.0,1184.0,0.4415769319276552,4.0,
pelousey,2112.0,0.0,2112.0,0.46936061165549536,3.0,
larnod,787.0,0.0,787.0,0.4525992212937778,3.0,
vaire-le-petit,239.0,0.0,239.0,0.5207799488530498,3.0,
naisey-les-granges,2825.0,0.0,2825.0,0.41391095996957966,4.0,
foucherans,480.0,0.0,480.0,0.43795836766560875,4.0,
chaleze,622.0,0.0,622.0,0.39879988397432675,3.0,
avanne-aveney,1214.0,0.0,1214.0,0.48064542013102346,3.0,
saint-vit,1397.0,0.0,1397.0,0.47407517538978616,3.0,
besancon,4323.0,0.0,4323.0,0.5857595478581136,2.0,
busy,447.0,0.0,447.0,0.43054257249938827,4.0,
auxon-dessus,687.0,0.0,687.0,0.4863444276945733,3.0,
villers-sous-montrond,98.0,0.0,98.0,0.43133299691336496,4.0,
lavernay,450.0,0.0,450.0,0.3067747328016493,4.0,
