diffDonnee -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
novillars,192.0,0.0,192.0,0.6044784784317017,3.0,
pirey,525.0,0.0,525.0,0.5803109886532738,3.0,
chatillon-le-duc,749.0,0.0,749.0,0.5189609094678321,3.0,
pouligney-lusans,2252.0,0.0,2252.0,0.40885277539756326,4.0,
chaudefontaine,887.0,0.0,887.0,0.4464184267545096,4.0,
chaucenne,745.0,0.0,745.0,0.5093015120333473,4.0,
montferrand-le-chateau,1159.0,0.0,1159.0,0.5718410120018604,3.0,
franois,1072.0,0.0,1072.0,0.6010146639240321,3.0,
champoux,521.0,0.0,521.0,0.4349724006286738,4.0,
sorans-ls-breurey,397.0,0.0,397.0,0.4444025073303684,4.0,
osse,980.0,0.0,980.0,0.4127132182218591,4.0,
roche-lez-beaupre,400.0,0.0,400.0,0.5472911834716797,3.0,
recologne,464.0,0.0,464.0,0.4481222876187029,4.0,
tallenay,190.0,0.0,190.0,0.5291281850714432,4.0,
corcondray,341.0,0.0,341.0,0.36930041718692724,4.0,
rancenay,252.0,0.0,252.0,0.49446102929493735,4.0,
grandfontaine,990.0,0.0,990.0,0.5286670415088384,3.0,
corcelle-mieslot,870.0,0.0,870.0,0.4036083352976832,4.0,
braillans,633.0,0.0,633.0,0.4445790656934982,4.0,
velesmes-essarts,388.0,0.0,388.0,0.5730353679853616,3.0,
voray-sur-l'ognon,939.0,0.0,939.0,0.4692418887592352,4.0,
courcuire,168.0,0.0,168.0,0.32875131425403414,4.0,
devecey,614.0,0.0,614.0,0.5866769796862276,3.0,
rigney,326.0,0.0,326.0,0.4125468248238593,4.0,
serre-les-sapins,446.0,0.0,446.0,0.5640736053877348,3.0,
mamirolle,2627.0,0.0,2627.0,0.46553713911424627,3.0,
roulans,499.0,0.0,499.0,0.3808361351609469,4.0,
bonnevent-velloreille,358.0,0.0,358.0,0.4226087005444745,4.0,
montfaucon,166.0,0.0,166.0,0.5728222490793251,3.0,
magny,666.0,0.0,666.0,0.49839264924103793,4.0,
montboillon,1576.0,0.0,1576.0,0.4194466837771653,4.0,
bussires,478.0,0.0,478.0,0.4611746496735258,4.0,
vennans,75.0,0.0,75.0,0.47793782552083336,4.0,
moncley,539.0,0.0,539.0,0.46721231605657176,4.0,
chatillon-guyotte,555.0,0.0,555.0,0.3881300092817427,4.0,
villers-grlot,371.0,0.0,371.0,0.41210509760360514,4.0,
champagney,105.0,0.0,105.0,0.4357514880952381,4.0,
vregille,363.0,0.0,363.0,0.4060155695134943,4.0,
chevroz,138.0,0.0,138.0,0.5250581381977468,4.0,
thise,851.0,0.0,851.0,0.49476227272831597,3.0,
champlive,44.0,0.0,44.0,0.3283288262107156,4.0,
bonnay,782.0,0.0,782.0,0.4067853064183384,4.0,
boulot,681.0,0.0,681.0,0.4589498690746604,4.0,
beaumotte-ls-pin,539.0,0.0,539.0,0.36041517381544236,4.0,
nancray,2201.0,0.0,2201.0,0.42218480679946613,3.0,
miserey-salines,815.0,0.0,815.0,0.5820940450656633,3.0,
le gratteris,575.0,0.0,575.0,0.4191291610054348,4.0,
rignosot,218.0,0.0,218.0,0.40285631932249855,4.0,
gennes,476.0,0.0,476.0,0.46743639777688417,4.0,
beure,32.0,0.0,32.0,0.5834498405456543,3.0,
thoraise,12.0,0.0,12.0,0.5736064910888672,4.0,
la veze,1101.0,0.0,1101.0,0.46770852181610467,4.0,
autoreille,36.0,0.0,36.0,0.3892987304263645,4.0,
franey,49.0,0.0,49.0,0.3690883870027503,4.0,
le puy,300.0,0.0,300.0,0.4336974080403646,4.0,
