diffDonnee -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
chevroz,4.0,0.0,4.0,0.0010000000474974513,4.0,
pirey,528.0,0.0,528.0,0.03697852293650309,3.0,
besancon,1106.0,0.0,1106.0,0.13035815275168117,2.0,
mamirolle,51.0,0.0,51.0,0.16808427548875995,3.0,
ecole-valentin,376.0,0.0,376.0,0.20826337692585398,3.0,
chalezeule,444.0,0.0,444.0,0.0040261127927281835,3.0,
perrouse,40.0,0.0,40.0,9.999996982514858E-4,4.0,
montfaucon,178.0,0.0,178.0,0.04140440533670147,3.0,
miserey-salines,194.0,0.0,194.0,0.12160055416146505,3.0,
deluz,122.0,0.0,122.0,0.1767853283491291,4.0,
torpes,18.0,0.0,18.0,0.1948528422249688,3.0,
novillars,79.0,0.0,79.0,0.20492225357248814,3.0,
saint-vit,19.0,0.0,19.0,0.12136455586082057,3.0,
montferrand-le-chateau,255.0,0.0,255.0,0.1638248967189415,3.0,
thise,164.0,0.0,164.0,0.0018536361252389302,3.0,
pugey,60.0,0.0,60.0,9.999992325901985E-4,4.0,
roche-lez-beaupre,1.0,0.0,1.0,0.14705882966518402,3.0,
chaudefontaine,82.0,0.0,82.0,9.999998459001866E-4,4.0,
morre,79.0,0.0,79.0,0.2113607623909093,3.0,
champagney,2.0,0.0,2.0,0.0010000000474974513,4.0,
tallenay,16.0,0.0,16.0,0.0010000000474974513,4.0,
chemaudin,268.0,0.0,268.0,0.002151947412917863,3.0,
buthiers,2.0,0.0,2.0,0.0010000000474974513,4.0,
franois,466.0,0.0,466.0,0.18669838966729815,3.0,
vaire-le-petit,70.0,0.0,70.0,0.2505794252668108,3.0,
fontain,112.0,0.0,112.0,0.0010000004300049373,4.0,
grandfontaine,341.0,0.0,341.0,0.1334569265415941,3.0,
la veze,81.0,0.0,81.0,0.04276315959883325,4.0,
geneuille,92.0,0.0,92.0,0.041478709034297775,4.0,
chaux-la-lotire,233.0,0.0,233.0,9.929771842874682E-4,4.0,
velesmes-essarts,97.0,0.0,97.0,0.19829523932073534,3.0,
vieilley,46.0,0.0,46.0,9.999995160361996E-4,4.0,
vaux-les-pres,116.0,0.0,116.0,0.0010000004850584886,4.0,
thoraise,51.0,0.0,51.0,0.1263603322646197,4.0,
arguel,1.0,0.0,1.0,0.0010000000474974513,4.0,
serre-les-sapins,324.0,0.0,324.0,0.19584408512821905,3.0,
vaire-arcier,8.0,0.0,8.0,0.12455450743436813,4.0,
saone,179.0,0.0,179.0,0.170356579999018,3.0,
marchaux,64.0,0.0,64.0,9.999992325901985E-4,4.0,
bussires,36.0,0.0,36.0,9.99999853471915E-4,4.0,
chaucenne,426.0,0.0,426.0,9.974332902353135E-4,4.0,
dannemarie-sur-crte,244.0,0.0,244.0,0.20771114161757173,3.0,
rancenay,3.0,0.0,3.0,0.001000000008692344,4.0,
osse,187.0,0.0,187.0,0.0010000010703336746,4.0,
mazerolles-le-salin,81.0,0.0,81.0,9.999998189784863E-4,4.0,
mrey-vieilley,3.0,0.0,3.0,0.001000000008692344,4.0,
auxon-dessous,31.0,0.0,31.0,0.0011577880190264795,3.0,
boult,30.0,0.0,30.0,0.0010000001018246015,4.0,
nancray,234.0,0.0,234.0,0.0010000012623958099,3.0,
chatillon-le-duc,330.0,0.0,330.0,0.016962814331054687,3.0,
auxon-dessus,79.0,0.0,79.0,0.11013996752002571,3.0,
gennes,72.0,0.0,72.0,9.999995430310566E-4,4.0,
noironte,320.0,0.0,320.0,9.996818378567695E-4,4.0,
beure,15.0,0.0,15.0,0.0010000001018246015,3.0,
pouilley-franais,25.0,0.0,25.0,0.001000000089406967,3.0,
devecey,504.0,0.0,504.0,9.99994221187773E-4,3.0,
montboillon,10.0,0.0,10.0,8.201202377676964E-4,4.0,
pelousey,97.0,0.0,97.0,0.0010000001831153005,3.0,
magny,53.0,0.0,53.0,9.99999355595067E-4,4.0,
avanne-aveney,170.0,0.0,170.0,0.02716048184563132,3.0,
audeux,82.0,0.0,82.0,9.997447998058506E-4,4.0,
pouilley-les-vignes,91.0,0.0,91.0,0.001000000061569633,3.0,
larnod,105.0,0.0,105.0,9.965373646645319E-4,3.0,
champvans-les-moulins,11.0,0.0,11.0,9.128631685267795E-4,4.0,
