stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
novillars,136.0,0.0,136.0,0.6316937278298771,3.0,
pirey,98.0,0.0,98.0,0.5504905544981664,3.0,
chatillon-le-duc,453.0,0.0,453.0,0.5398112585476166,3.0,
pouligney-lusans,1399.0,0.0,1399.0,0.4255704409399571,4.0,
chaudefontaine,248.0,0.0,248.0,0.46441622703306135,4.0,
chaucenne,532.0,0.0,532.0,0.5085717681655311,4.0,
montferrand-le-chateau,616.0,0.0,616.0,0.5614208865475345,3.0,
franois,669.0,0.0,669.0,0.5940258442375513,3.0,
champoux,193.0,0.0,193.0,0.43526189932551407,4.0,
osse,642.0,0.0,642.0,0.3577207286038503,4.0,
roche-lez-beaupre,93.0,0.0,93.0,0.6563152190177671,3.0,
recologne,228.0,0.0,228.0,0.42088880037006576,4.0,
tallenay,189.0,0.0,189.0,0.5292981667493386,4.0,
grandfontaine,692.0,0.0,692.0,0.5383938916156746,3.0,
corcelle-mieslot,336.0,0.0,336.0,0.40202154432024273,4.0,
braillans,501.0,0.0,501.0,0.4093845999407435,4.0,
velesmes-essarts,187.0,0.0,187.0,0.6025759855056192,3.0,
voray-sur-l'ognon,880.0,0.0,880.0,0.47250654047185725,4.0,
courcuire,168.0,0.0,168.0,0.32875131425403414,4.0,
devecey,354.0,0.0,354.0,0.6282825362210893,3.0,
rigney,309.0,0.0,309.0,0.4057992731483237,4.0,
serre-les-sapins,320.0,0.0,320.0,0.5556707382202148,3.0,
mamirolle,1749.0,0.0,1749.0,0.45565396325802243,3.0,
roulans,499.0,0.0,499.0,0.3808361351609469,4.0,
bonnevent-velloreille,242.0,0.0,242.0,0.42053979290418386,4.0,
montfaucon,129.0,0.0,129.0,0.5930807424146075,3.0,
magny,490.0,0.0,490.0,0.47200750234175703,4.0,
montboillon,721.0,0.0,721.0,0.407238964234245,4.0,
bussires,1.0,0.0,1.0,0.44621652364730835,4.0,
vennans,55.0,0.0,55.0,0.48036516362970527,4.0,
moncley,327.0,0.0,327.0,0.47150628792765675,4.0,
villers-grlot,257.0,0.0,257.0,0.4077625794169504,4.0,
chatillon-guyotte,106.0,0.0,106.0,0.4488512435049381,4.0,
vregille,27.0,0.0,27.0,0.28374629550509983,4.0,
champagney,77.0,0.0,77.0,0.43043542837167714,4.0,
chevroz,29.0,0.0,29.0,0.5989095095930428,4.0,
thise,709.0,0.0,709.0,0.4636292881286363,3.0,
champlive,33.0,0.0,33.0,0.15793067758733575,4.0,
boulot,275.0,0.0,275.0,0.49699867942116477,4.0,
bonnay,536.0,0.0,536.0,0.4037443132542852,4.0,
beaumotte-ls-pin,539.0,0.0,539.0,0.3604150888871174,4.0,
nancray,1388.0,0.0,1388.0,0.44770637094459204,3.0,
miserey-salines,660.0,0.0,660.0,0.6087658968838778,3.0,
le gratteris,298.0,0.0,298.0,0.4353174299201709,4.0,
gennes,330.0,0.0,330.0,0.4178078391335227,4.0,
rignosot,218.0,0.0,218.0,0.4028560393447176,4.0,
beure,26.0,0.0,26.0,0.5764043514545147,3.0,
thoraise,10.0,0.0,10.0,0.5686269283294678,4.0,
la veze,661.0,0.0,661.0,0.46239384869043115,4.0,
autoreille,23.0,0.0,23.0,0.27690391955168353,4.0,
franey,43.0,0.0,43.0,0.36338644249494684,4.0,
le puy,137.0,0.0,137.0,0.3738617444560476,4.0,
vaire-arcier,798.0,0.0,798.0,0.4131287691885965,4.0,
placey,563.0,0.0,563.0,0.43944759606044625,4.0,
mrey-sous-montrond,176.0,0.0,176.0,0.4708099798722701,4.0,
palise,174.0,0.0,174.0,0.3786054150811557,4.0,
noironte,775.0,0.0,775.0,0.46328373078377016,4.0,
perrouse,447.0,0.0,447.0,0.4599979750528698,4.0,
larnod,253.0,0.0,253.0,0.5013541119843132,3.0,
pelousey,584.0,0.0,584.0,0.5333969429747699,3.0,
vaire-le-petit,50.0,0.0,50.0,0.6945185089111328,3.0,
naisey-les-granges,177.0,0.0,177.0,0.3513221309683417,4.0,
foucherans,108.0,0.0,108.0,0.4003449192753545,4.0,
avanne-aveney,372.0,0.0,372.0,0.509168932514806,3.0,
besancon,307.0,0.0,307.0,0.669245567694549,2.0,
auxon-dessus,299.0,0.0,299.0,0.5803744210846049,3.0,
lavernay,121.0,0.0,121.0,0.5036869837232858,4.0,
champvans-les-moulins,62.0,0.0,62.0,0.43811631971789944,4.0,
boult,297.0,0.0,297.0,0.3895572700885811,4.0,
amagney,661.0,0.0,661.0,0.4155458574396038,4.0,
l'hpital-du-grosbois,781.0,0.0,781.0,0.37544377482044256,4.0,
cussey-sur-l'ognon,571.0,0.0,571.0,0.4648802535128886,4.0,
torpes,314.0,0.0,314.0,0.49725633366092753,3.0,
sauvagney,63.0,0.0,63.0,0.30223746526808964,4.0,
pugey,22.0,0.0,22.0,0.5462885769930753,4.0,
arguel,64.0,0.0,64.0,0.4396442770957947,4.0,
marchaux,656.0,0.0,656.0,0.4844486887862043,4.0,
pouilley-les-vignes,729.0,0.0,729.0,0.472416044426226,3.0,
chevigney-sur-l'ognon,343.0,0.0,343.0,0.40158178924471577,4.0,
vieilley,717.0,0.0,717.0,0.3665778294434275,4.0,
tuz,627.0,0.0,627.0,0.4230180706894189,4.0,
chalezeule,188.0,0.0,188.0,0.5972227137139503,3.0,
geneuille,430.0,0.0,430.0,0.4855264708053234,4.0,
morre,89.0,0.0,89.0,0.5805970524134261,3.0,
venise,477.0,0.0,477.0,0.4376348659427411,4.0,
