stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
novillars,129.0,129.0,0.0,0.551245933355287,3.0,
pirey,452.0,452.0,0.0,0.5828347670293488,3.0,
chatillon-le-duc,316.0,316.0,0.0,0.5343606200399278,3.0,
pouligney-lusans,1256.0,1256.0,0.0,0.40493045491018115,4.0,
chaudefontaine,820.0,820.0,0.0,0.44893646240234375,4.0,
chaucenne,341.0,341.0,0.0,0.5393870513110567,4.0,
montferrand-le-chateau,440.0,440.0,0.0,0.6303194912997159,3.0,
franois,507.0,507.0,0.0,0.6216012326453094,3.0,
champoux,400.0,400.0,0.0,0.4287683868408203,4.0,
sorans-ls-breurey,397.0,397.0,0.0,0.4444025073303684,4.0,
osse,635.0,635.0,0.0,0.453081314207062,4.0,
roche-lez-beaupre,217.0,217.0,0.0,0.5512605658324633,3.0,
recologne,266.0,266.0,0.0,0.48087204667858613,4.0,
tallenay,1.0,1.0,0.0,0.4970194697380066,4.0,
rancenay,171.0,171.0,0.0,0.478160255833676,4.0,
grandfontaine,602.0,602.0,0.0,0.5264555972279901,3.0,
corcelle-mieslot,534.0,534.0,0.0,0.40477492657493563,4.0,
braillans,524.0,524.0,0.0,0.4605393154930522,4.0,
velesmes-essarts,382.0,382.0,0.0,0.5632516351669871,3.0,
voray-sur-l'ognon,271.0,271.0,0.0,0.40795813979257955,4.0,
devecey,241.0,241.0,0.0,0.5886232368184323,3.0,
rigney,17.0,17.0,0.0,0.5351956872379079,4.0,
serre-les-sapins,142.0,142.0,0.0,0.6193213664310079,3.0,
mamirolle,1450.0,1450.0,0.0,0.4763146130792026,3.0,
bonnevent-velloreille,264.0,264.0,0.0,0.43304648543849134,4.0,
montfaucon,68.0,68.0,0.0,0.5205905016730813,3.0,
magny,291.0,291.0,0.0,0.5602366653914305,4.0,
montboillon,1122.0,1122.0,0.0,0.4200536010524593,4.0,
bussires,215.0,215.0,0.0,0.42708509578261267,4.0,
vennans,59.0,59.0,0.0,0.5013491743702,4.0,
moncley,334.0,334.0,0.0,0.47245569286232225,4.0,
villers-grlot,224.0,224.0,0.0,0.41912644250052317,4.0,
chatillon-guyotte,499.0,499.0,0.0,0.3810764228652618,4.0,
champagney,425.0,425.0,0.0,0.510802001953125,4.0,
vregille,335.0,335.0,0.0,0.4150504496560168,4.0,
thise,371.0,371.0,0.0,0.5401596521752864,3.0,
champlive,33.0,33.0,0.0,0.37871800046978576,4.0,
bonnay,447.0,447.0,0.0,0.419097183534763,4.0,
boulot,404.0,404.0,0.0,0.48250972634494893,4.0,
nancray,1148.0,1148.0,0.0,0.41038234059403583,3.0,
miserey-salines,211.0,211.0,0.0,0.5347378265236227,3.0,
le gratteris,440.0,440.0,0.0,0.40660972595214845,4.0,
gennes,262.0,262.0,0.0,0.5059050931275346,4.0,
beure,11.0,11.0,0.0,0.5961733297868208,3.0,
thoraise,5.0,5.0,0.0,0.6883129596710205,4.0,
la veze,665.0,665.0,0.0,0.49772003862194547,4.0,
autoreille,23.0,23.0,0.0,0.45320809405782947,4.0,
franey,45.0,45.0,0.0,0.37129732767740886,4.0,
le puy,217.0,217.0,0.0,0.4589749876804616,4.0,
vaire-arcier,245.0,245.0,0.0,0.42817379698461416,4.0,
thurey-le-mont,15.0,15.0,0.0,0.48997955322265624,4.0,
placey,403.0,403.0,0.0,0.4648943728312073,4.0,
mrey-sous-montrond,94.0,94.0,0.0,0.4958945335225856,4.0,
palise,112.0,112.0,0.0,0.40357136726379395,4.0,
noironte,1161.0,1161.0,0.0,0.5229633604011897,4.0,
perrouse,476.0,476.0,0.0,0.46335640274176076,4.0,
larnod,388.0,388.0,0.0,0.4433917409365939,3.0,
pelousey,500.0,500.0,0.0,0.4968004150390625,3.0,
vaire-le-petit,66.0,66.0,0.0,0.5792202227043383,3.0,
naisey-les-granges,766.0,766.0,0.0,0.41175348266920286,4.0,
foucherans,110.0,110.0,0.0,0.5154494545676491,4.0,
chaleze,206.0,206.0,0.0,0.5137064294907653,3.0,
avanne-aveney,64.0,64.0,0.0,0.4730142652988434,3.0,
saint-vit,170.0,170.0,0.0,0.5501246284036075,3.0,
besancon,432.0,432.0,0.0,0.6639683334915726,2.0,
busy,25.0,25.0,0.0,0.4074197769165039,4.0,
auxon-dessus,199.0,199.0,0.0,0.4995124855233197,3.0,
lavernay,126.0,126.0,0.0,0.21720245906284877,4.0,
champvans-les-moulins,335.0,335.0,0.0,0.401333937004431,4.0,
boult,526.0,526.0,0.0,0.455657320784072,4.0,
amagney,349.0,349.0,0.0,0.42715983131211943,4.0,
l'hpital-du-grosbois,233.0,233.0,0.0,0.4963079951863432,4.0,
torpes,24.0,24.0,0.0,0.5468107064565023,3.0,
cussey-sur-l'ognon,442.0,442.0,0.0,0.4467136849105628,4.0,
sauvagney,496.0,496.0,0.0,0.4512908689437374,4.0,
pugey,109.0,109.0,0.0,0.44756303139782827,4.0,
arguel,41.0,41.0,0.0,0.47414193502286583,4.0,
marchaux,1362.0,1362.0,0.0,0.4597267901494815,4.0,
pouilley-les-vignes,785.0,785.0,0.0,0.4746986340565287,3.0,
